PolicyID,UnderwrittenCoverID,PolicyStartDate,Province,VehicleType,Gender,Age,VehicleAge,CubicCapacity,PostalCode,PreviousClaims,TotalPremium,TotalClaims,LossRatio,HasClaim
100049,TPO,2020-02-18,Gauteng,Hatchback,Female,51,19,1600,7173,1,11116,15278,1.3744152572867938,1
100050,TPO,2020-02-19,Western Cape,Bakkie,Female,44,13,1800,6702,1,11136,3511,0.3152837643678161,1
100051,COMP+,2020-02-20,Gauteng,Hatchback,Male,38,13,2000,6077,3,16451,526,0.03197374019816424,1
100052,TPO,2020-02-21,Western Cape,SUV,Male,48,4,2500,8315,1,13335,2007,0.15050618672665916,1
100053,COMP+,2020-02-22,KZN,Bakkie,Male,67,9,2200,1604,2,11478,13289,1.157780101062903,1
100054,TPFT,2020-02-23,Eastern Cape,SUV,Female,74,14,1800,7426,3,13290,280,0.021068472535741158,1
100055,COMP+,2020-02-24,Western Cape,Bakkie,Female,21,14,1200,8896,2,9998,0,0.0,0
100056,TPFT,2020-02-25,Eastern Cape,SUV,Male,58,17,2200,5333,3,8568,0,0.0,0
100057,TPFT,2020-02-26,Gauteng,Sedan,Female,66,5,2000,8906,3,14935,51,0.0034147974556411114,1
100058,COMP,2020-02-27,Western Cape,SUV,Female,34,23,1200,1730,2,8356,2856,0.3417903303015797,1
100059,COMP+,2020-02-28,Western Cape,SUV,Female,66,19,3000,6438,3,16161,7407,0.458325598663449,1
100060,COMP,2020-02-29,Gauteng,Hatchback,Female,65,2,2200,7090,3,9434,10858,1.150943396226415,1
100061,COMP+,2020-03-01,KZN,Bakkie,Female,37,13,2200,2360,1,11843,9968,0.8416786287258297,1
100062,COMP+,2020-03-02,KZN,Bakkie,Male,42,11,1800,3078,2,8623,21010,2.43650701611968,1
100063,COMP,2020-03-03,Western Cape,Sedan,Female,57,2,1200,1977,2,6524,0,0.0,0
100064,COMP,2020-03-04,Western Cape,Bakkie,Female,40,1,3500,6010,1,10784,1309,0.12138353115727003,1
100065,COMP+,2020-03-05,Gauteng,SUV,Male,32,21,3000,8793,3,13482,0,0.0,0
100066,TPO,2020-03-06,Western Cape,Hatchback,Female,50,3,3500,2637,0,6271,265,0.04225801307606442,1
100067,TPFT,2020-03-07,Western Cape,Hatchback,Female,36,12,2200,6724,0,5738,1072,0.18682467758800975,1
100068,COMP,2020-03-08,Western Cape,Sedan,Male,74,7,2500,7350,2,13057,177,0.013555947001608332,1
100069,TPFT,2020-03-09,KZN,Hatchback,Female,32,1,3500,2981,1,7441,1046,0.14057250369573981,1
100070,TPO,2020-03-10,Eastern Cape,Sedan,Male,58,9,2000,3950,3,10007,0,0.0,0
100071,TPO,2020-03-11,Gauteng,SUV,Female,22,18,1200,4300,1,16945,8143,0.480554735910298,1
100072,TPO,2020-03-12,Eastern Cape,SUV,Female,33,24,2500,5004,3,13170,31709,2.407668944570995,1
100073,COMP,2020-03-13,Gauteng,Sedan,Male,62,20,1800,1582,2,11037,0,0.0,0
100074,TPO,2020-03-14,Gauteng,Bakkie,Male,65,6,1600,8509,2,15646,12368,0.7904895820017896,1
100075,COMP,2020-03-15,Western Cape,Sedan,Female,49,9,3000,1459,0,7513,237,0.031545321442832425,1
100076,TPO,2020-03-16,Free State,Sedan,Male,39,23,2200,1135,1,5572,0,0.0,0
100077,TPFT,2020-03-17,Eastern Cape,SUV,Male,60,8,1600,2976,2,14657,1531,0.10445520911509859,1
100078,TPFT,2020-03-18,Free State,Bakkie,Male,49,23,2200,1977,1,11636,3217,0.2764695771742867,1
100079,COMP+,2020-03-19,Gauteng,Hatchback,Male,30,18,3500,1283,2,14372,2107,0.14660450876704703,1
100080,TPFT,2020-03-20,Free State,Bakkie,Male,55,15,2500,3897,3,10793,2200,0.2038358195126471,1
100081,COMP+,2020-03-21,Western Cape,Bakkie,Female,43,1,1800,3398,3,3000,1402,0.4673333333333333,1
100082,TPFT,2020-03-22,Eastern Cape,SUV,Female,69,14,3500,5112,0,11680,1856,0.1589041095890411,1
100083,COMP,2020-03-23,Gauteng,Sedan,Female,34,18,1800,2238,2,10696,6261,0.5853590127150337,1
100084,TPFT,2020-03-24,Gauteng,Sedan,Female,22,19,3500,4466,0,12053,1544,0.12810088774578943,1
100085,COMP+,2020-03-25,Free State,SUV,Male,66,19,1800,6518,0,4718,2979,0.6314116150911403,1
100086,COMP+,2020-03-26,Free State,Bakkie,Male,50,10,1800,3461,2,11000,529,0.048090909090909094,1
100087,TPO,2020-03-27,Western Cape,SUV,Male,44,20,1200,6363,2,6613,1651,0.24965976107666718,1
100088,COMP,2020-03-28,Free State,Bakkie,Female,22,21,3500,4166,3,14198,0,0.0,0
100089,TPFT,2020-03-29,Western Cape,SUV,Female,54,6,1200,4704,0,10594,119,0.011232773267887483,1
100090,TPO,2020-03-30,KZN,Sedan,Female,24,17,2200,3053,3,11336,445,0.03925546930134086,1
100091,TPFT,2020-03-31,KZN,Sedan,Female,65,14,1200,1779,1,11991,942,0.07855891918939205,1
100092,TPFT,2020-04-01,KZN,Hatchback,Female,35,13,2200,3134,1,7156,2775,0.3877864728898826,1
100093,TPO,2020-04-02,Free State,Bakkie,Male,48,8,3000,3236,0,9384,0,0.0,0
100094,TPO,2020-04-03,Gauteng,Hatchback,Male,23,22,1200,8782,0,9109,5297,0.5815127895487979,1
100095,TPO,2020-04-04,Western Cape,Sedan,Male,19,10,1200,2639,2,13421,613,0.045674688920348705,1
100096,TPO,2020-04-05,KZN,Coupe,Male,30,9,1200,1419,2,11702,1008,0.08613912151768928,1
100097,TPO,2020-04-06,Western Cape,Sedan,Female,59,5,3000,2826,0,7640,0,0.0,0
100098,TPFT,2020-04-07,Gauteng,Sedan,Male,70,23,2000,4138,0,9799,0,0.0,0
100099,TPO,2020-04-08,Western Cape,Coupe,Female,69,4,3000,4689,1,5658,0,0.0,0
100100,COMP,2020-04-09,Western Cape,Sedan,Female,28,6,1800,7391,3,8023,605,0.07540820142091487,1
100101,COMP+,2020-04-10,Free State,Bakkie,Male,43,6,3000,5955,1,11467,1405,0.1225255079794192,1
100102,TPO,2020-04-11,Western Cape,Sedan,Male,38,13,2000,1206,1,7768,506,0.06513903192584963,1
100103,TPO,2020-04-12,KZN,SUV,Male,19,4,1200,8372,3,9924,4138,0.416968964127368,1
100104,TPFT,2020-04-13,Gauteng,Hatchback,Male,57,22,1200,4390,0,7475,651,0.08709030100334449,1
100105,TPO,2020-04-14,Western Cape,Sedan,Female,73,8,2000,8250,0,9881,0,0.0,0
100106,TPO,2020-04-15,Gauteng,Bakkie,Male,71,5,3500,7567,1,16942,336,0.019832369259827648,1
100107,TPO,2020-04-16,Western Cape,Sedan,Female,68,2,2500,8249,1,5723,1559,0.2724095753975188,1
100108,TPFT,2020-04-17,Western Cape,Bakkie,Female,37,9,2200,4870,3,6273,5104,0.8136457835166587,1
100109,TPO,2020-04-18,KZN,Sedan,Female,34,11,1800,7692,2,7694,0,0.0,0
100110,COMP+,2020-04-19,Western Cape,Sedan,Female,33,20,3000,4796,2,4409,1114,0.252665003402132,1
100111,TPFT,2020-04-20,KZN,Sedan,Male,74,20,2200,3534,0,8034,1347,0.16766243465272593,1
100112,COMP+,2020-04-21,Western Cape,Sedan,Male,59,11,3500,3180,2,13238,1447,0.10930654177368182,1
100113,TPFT,2020-04-22,Western Cape,Hatchback,Male,22,7,2500,7136,0,5623,697,0.12395518406544549,1
100114,TPO,2020-04-23,KZN,SUV,Male,31,14,1800,5210,0,9153,0,0.0,0
100115,COMP+,2020-04-24,Gauteng,Sedan,Female,41,6,1600,7520,0,13120,4274,0.3257621951219512,1
100116,TPFT,2020-04-25,Western Cape,SUV,Female,68,4,1800,8120,3,14668,220,0.014998636487592037,1
100117,COMP,2020-04-26,Gauteng,Sedan,Male,21,6,3000,5306,1,13603,0,0.0,0
100118,TPO,2020-04-27,Western Cape,Bakkie,Male,69,3,2200,5227,2,10987,5073,0.4617274961317921,1
100119,TPFT,2020-04-28,KZN,Coupe,Male,65,23,1800,2397,3,8134,8909,1.0952790754856159,1
100120,COMP,2020-04-29,Gauteng,SUV,Female,41,6,1600,5249,2,13973,5221,0.3736491805625134,1
100121,TPFT,2020-04-30,KZN,Hatchback,Female,64,3,1600,6015,3,12136,59,0.00486156888595913,1
100122,COMP,2020-05-01,Eastern Cape,SUV,Female,26,1,1200,2446,2,14702,6254,0.42538430145558426,1
100123,TPO,2020-05-02,Gauteng,Sedan,Female,20,21,3000,1951,2,13023,2131,0.16363357137372342,1
100124,COMP+,2020-05-03,Eastern Cape,Bakkie,Male,72,18,1600,5021,1,11064,528,0.04772234273318872,1
100125,COMP,2020-05-04,Gauteng,SUV,Male,26,23,2000,7949,2,11422,2491,0.21808790054281213,1
100126,TPFT,2020-05-05,Eastern Cape,Bakkie,Male,35,23,2200,6485,3,13183,960,0.07282105742243798,1
100127,TPO,2020-05-06,Western Cape,Hatchback,Male,53,4,2000,2717,2,10332,59,0.005710414246999613,1
100128,COMP,2020-05-07,Free State,SUV,Female,36,6,2500,5242,1,10388,902,0.08683095879861379,1
100129,TPFT,2020-05-08,Gauteng,Hatchback,Female,41,17,2000,4805,2,8829,13065,1.4797825348284064,1
100130,TPFT,2020-05-09,Gauteng,Bakkie,Female,21,18,2200,6913,3,21865,2520,0.11525268694260234,1
100131,TPFT,2020-05-10,Free State,SUV,Male,26,6,3500,4198,2,8133,0,0.0,0
100132,COMP,2020-05-11,KZN,Bakkie,Male,50,2,2500,8475,1,13229,819,0.061909441378789024,1
100133,COMP,2020-05-12,Western Cape,Sedan,Male,18,12,2000,5810,1,9386,991,0.10558278286810142,1
100134,COMP,2020-05-13,Western Cape,Coupe,Male,69,12,3500,8285,1,5402,0,0.0,0
100135,COMP+,2020-05-14,KZN,Bakkie,Female,68,4,2000,2596,1,10977,90,0.008198961464881116,1
100136,COMP,2020-05-15,Free State,Sedan,Male,52,16,3000,7374,0,7200,478,0.06638888888888889,1
100137,COMP,2020-05-16,Eastern Cape,Sedan,Female,27,20,2500,7594,1,8869,6434,0.7254481903258541,1
100138,COMP,2020-05-17,KZN,Bakkie,Female,29,10,2000,6619,2,10046,0,0.0,0
100139,COMP+,2020-05-18,Eastern Cape,Sedan,Male,35,10,1600,4733,2,7785,0,0.0,0
100140,COMP,2020-05-19,KZN,Sedan,Female,31,7,3500,4216,2,6868,1369,0.19933022714036108,1
100141,TPFT,2020-05-20,Western Cape,SUV,Male,27,14,2200,1906,2,9344,2422,0.2592037671232877,1
100142,COMP,2020-05-21,Western Cape,Sedan,Female,27,7,2200,6742,0,5376,615,0.11439732142857142,1
100143,TPFT,2020-05-22,KZN,SUV,Female,35,12,2200,4750,0,11928,7197,0.6033702213279678,1
100144,TPFT,2020-05-23,Free State,Sedan,Female,41,11,2000,6820,0,5004,0,0.0,0
100145,TPFT,2020-05-24,Western Cape,Sedan,Male,18,17,1600,7126,2,10996,659,0.059930883957802834,1
100146,COMP+,2020-05-25,Gauteng,Bakkie,Male,47,11,2200,5058,3,16444,392,0.02383848212113841,1
100147,COMP+,2020-05-26,Eastern Cape,SUV,Male,32,21,1800,8216,3,15430,4537,0.29403758911211925,1
100148,COMP+,2020-05-27,Gauteng,Sedan,Male,25,3,2200,3154,2,15084,0,0.0,0
100149,COMP,2020-05-28,Gauteng,Sedan,Female,52,19,1200,7236,1,12758,0,0.0,0
100150,TPFT,2020-05-29,Gauteng,SUV,Female,35,22,1800,6755,1,14939,16284,1.090032800053551,1
100151,COMP+,2020-05-30,Western Cape,Sedan,Male,58,4,2200,5924,2,6056,743,0.1226882430647292,1
100152,COMP+,2020-05-31,Gauteng,Sedan,Male,33,8,2000,7283,1,7963,6124,0.7690568881074972,1
100153,COMP,2020-06-01,Gauteng,Sedan,Male,38,14,3500,2337,1,8570,0,0.0,0
100154,COMP+,2020-06-02,Western Cape,Hatchback,Male,32,20,2200,5106,3,11119,4403,0.3959888479179782,1
100155,COMP,2020-06-03,KZN,Bakkie,Male,22,24,1600,3495,2,15250,4084,0.2678032786885246,1
100156,TPO,2020-06-04,Gauteng,Bakkie,Male,62,14,1600,3974,0,16709,5234,0.31324435932730865,1
100157,COMP+,2020-06-05,KZN,Bakkie,Female,71,16,2200,3442,3,17169,1013,0.059001689090803194,1
100158,TPO,2020-06-06,Eastern Cape,Bakkie,Male,69,15,3000,6624,2,10372,636,0.06131893559583494,1
100159,COMP,2020-06-07,Western Cape,SUV,Male,24,12,2000,5473,2,13586,1386,0.10201678198145149,1
100160,TPFT,2020-06-08,Free State,Bakkie,Female,65,16,2000,1360,3,11630,5478,0.4710232158211522,1
100161,COMP+,2020-06-09,Gauteng,Sedan,Male,24,20,2000,7826,1,12970,0,0.0,0
100162,COMP,2020-06-10,Eastern Cape,Bakkie,Female,44,19,2200,4064,1,9148,2665,0.2913205072146917,1
100163,TPFT,2020-06-11,Western Cape,Bakkie,Female,42,5,3500,6667,3,14558,986,0.06772908366533864,1
100164,TPFT,2020-06-12,Free State,SUV,Female,39,12,2200,5737,2,9919,3698,0.37281984070974894,1
100165,TPO,2020-06-13,Free State,SUV,Male,65,5,1200,1572,0,9005,2308,0.25630205441421433,1
100166,COMP,2020-06-14,Western Cape,Sedan,Male,30,10,1600,2955,2,6560,457,0.06966463414634147,1
100167,TPFT,2020-06-15,Western Cape,Bakkie,Female,34,17,3000,4044,0,10098,2472,0.24480095068330363,1
100168,COMP+,2020-06-16,Free State,Bakkie,Female,58,15,1800,2584,0,6109,252,0.04125061384842036,1
100169,COMP+,2020-06-17,KZN,Hatchback,Male,61,8,1800,6018,2,11760,770,0.06547619047619048,1
100170,TPO,2020-06-18,Gauteng,Sedan,Male,30,8,3500,7539,2,13285,513,0.03861497929996236,1
100171,TPFT,2020-06-19,Free State,Bakkie,Male,43,8,1600,3233,2,8782,1584,0.18036893646094285,1
100172,COMP,2020-06-20,Gauteng,SUV,Male,26,10,2500,4292,0,13471,0,0.0,0
100173,COMP+,2020-06-21,KZN,Hatchback,Female,22,20,1200,6637,1,11971,342,0.028569041851140255,1
100174,TPFT,2020-06-22,Western Cape,SUV,Male,56,13,1600,8467,0,8554,0,0.0,0
100175,TPFT,2020-06-23,Eastern Cape,SUV,Male,50,16,1200,4246,0,9631,0,0.0,0
100176,TPO,2020-06-24,Western Cape,SUV,Female,21,9,2500,2814,0,11405,71,0.006225339763261727,1
100177,COMP+,2020-06-25,Gauteng,Bakkie,Male,45,16,1200,7514,3,16750,0,0.0,0
100178,COMP+,2020-06-26,Western Cape,Coupe,Female,43,10,2000,5041,1,8039,2158,0.2684413484264212,1
100179,COMP,2020-06-27,Western Cape,Sedan,Female,21,3,1600,2889,0,6438,315,0.048928238583411,1
100180,COMP+,2020-06-28,Gauteng,Sedan,Male,33,23,1800,8676,0,9504,116,0.012205387205387205,1
100181,COMP,2020-06-29,Western Cape,Hatchback,Female,54,22,2200,2899,3,9979,0,0.0,0
100182,COMP+,2020-06-30,KZN,SUV,Female,39,14,2500,6323,0,9833,0,0.0,0
100183,TPO,2020-07-01,Western Cape,Bakkie,Male,53,13,2500,3655,1,11770,1338,0.11367884451996602,1
100184,COMP+,2020-07-02,Gauteng,SUV,Male,55,4,2200,3329,0,14414,0,0.0,0
100185,COMP,2020-07-03,Gauteng,Sedan,Male,72,4,1600,4718,1,9353,791,0.08457179514594247,1
100186,COMP,2020-07-04,Western Cape,Bakkie,Female,52,6,3000,6535,1,9108,414,0.045454545454545456,1
100187,TPO,2020-07-05,Western Cape,Bakkie,Female,42,24,2200,2056,2,9561,1301,0.1360736324652233,1
100188,COMP+,2020-07-06,Gauteng,Sedan,Male,25,19,1200,3129,3,12830,4201,0.327435697583788,1
100189,COMP+,2020-07-07,Gauteng,Sedan,Female,34,11,2200,2506,3,12834,0,0.0,0
100190,TPO,2020-07-08,Gauteng,Hatchback,Male,35,8,1200,7291,3,15586,4677,0.3000769921724625,1
100191,COMP+,2020-07-09,Gauteng,Sedan,Female,67,14,1200,2630,2,13619,0,0.0,0
100192,COMP+,2020-07-10,Free State,Hatchback,Female,74,8,1800,6060,2,11737,0,0.0,0
100193,COMP,2020-07-11,Western Cape,Sedan,Male,29,14,2200,1991,1,7977,921,0.11545693869875893,1
100194,COMP+,2020-07-12,Gauteng,SUV,Female,74,23,3000,8091,3,14140,0,0.0,0
100195,COMP+,2020-07-13,Eastern Cape,Hatchback,Female,74,7,1800,5590,2,9326,3537,0.37926227750375296,1
100196,TPO,2020-07-14,Gauteng,Bakkie,Female,50,21,3000,2193,2,17236,3206,0.18600603388257136,1
100197,TPO,2020-07-15,Free State,SUV,Male,40,18,2200,7866,2,5840,0,0.0,0
100198,TPFT,2020-07-16,Gauteng,Bakkie,Female,29,12,3000,4968,1,9108,1839,0.20191040843214755,1
100199,COMP,2020-07-17,KZN,Sedan,Female,28,14,1200,1702,0,7620,609,0.07992125984251969,1
100200,COMP+,2020-07-18,KZN,Sedan,Male,30,15,3000,2030,2,11288,1446,0.12810063784549963,1
100201,COMP+,2020-07-19,Gauteng,Coupe,Male,52,18,2200,6499,2,16557,8072,0.48752793380443316,1
100202,TPFT,2020-07-20,Eastern Cape,Bakkie,Male,44,12,2500,5921,2,10894,10322,0.9474940334128878,1
100203,COMP+,2020-07-21,Western Cape,Bakkie,Female,42,10,2500,3481,3,14210,187,0.013159746657283602,1
100204,COMP,2020-07-22,Western Cape,SUV,Female,57,12,1800,6153,3,11434,1602,0.14010844848696868,1
100205,TPFT,2020-07-23,KZN,Sedan,Male,20,8,3500,1562,2,7316,3611,0.4935757244395845,1
100206,COMP,2020-07-24,KZN,Sedan,Female,66,6,2000,8799,1,9177,640,0.06973956630707202,1
100207,TPFT,2020-07-25,Western Cape,SUV,Male,42,24,2500,7281,0,7303,2508,0.34342051211830754,1
100208,TPFT,2020-07-26,Western Cape,Bakkie,Female,62,19,3000,1366,3,15191,0,0.0,0
100209,TPO,2020-07-27,Western Cape,SUV,Male,27,1,1800,7249,0,8584,0,0.0,0
100210,COMP,2020-07-28,Western Cape,Hatchback,Male,34,13,3000,1793,2,5879,0,0.0,0
100211,COMP+,2020-07-29,KZN,Sedan,Male,20,22,2000,4103,3,8028,12627,1.5728699551569507,1
100212,COMP+,2020-07-30,Gauteng,SUV,Male,62,16,1600,5731,0,13655,6884,0.5041376785060417,1
100213,COMP,2020-07-31,Gauteng,Sedan,Female,39,18,1800,6801,2,4682,430,0.09184109354976505,1
100214,COMP+,2020-08-01,Gauteng,SUV,Female,55,12,2500,1986,3,14122,24479,1.7333947032998158,1
100215,COMP+,2020-08-02,Western Cape,Sedan,Male,31,5,2500,1957,2,8682,0,0.0,0
100216,COMP,2020-08-03,Western Cape,Coupe,Male,44,21,2200,4595,3,6886,284,0.04124310194597734,1
100217,TPFT,2020-08-04,Free State,Sedan,Male,59,13,2000,8335,0,8065,733,0.09088654680719156,1
100218,COMP,2020-08-05,Eastern Cape,Hatchback,Female,37,8,2500,1854,0,10382,913,0.08794066653823926,1
100219,TPFT,2020-08-06,KZN,SUV,Female,65,6,2200,7221,3,10238,486,0.04747020902520024,1
100220,COMP+,2020-08-07,Western Cape,Coupe,Male,35,3,2000,2569,1,7329,108,0.014735980352026197,1
100221,COMP+,2020-08-08,Eastern Cape,SUV,Female,30,20,1800,3256,2,14384,0,0.0,0
100222,COMP+,2020-08-09,KZN,Hatchback,Male,59,4,1800,4909,0,7997,53,0.0066274853069901215,1
100223,TPO,2020-08-10,KZN,Sedan,Female,23,12,2200,6530,1,7079,2918,0.41220511371662666,1
100224,TPFT,2020-08-11,Gauteng,Bakkie,Female,27,13,1800,5103,3,15642,0,0.0,0
100225,TPO,2020-08-12,Gauteng,Hatchback,Female,54,2,2200,5832,0,8182,0,0.0,0
100226,TPO,2020-08-13,Gauteng,Sedan,Female,46,19,1200,7370,0,12617,0,0.0,0
100227,COMP,2020-08-14,Western Cape,Sedan,Female,23,4,3000,3222,2,12286,139,0.011313690379293504,1
100228,TPO,2020-08-15,Western Cape,SUV,Female,56,23,2000,5176,1,8758,1330,0.15186115551495774,1
100229,COMP,2020-08-16,Western Cape,Hatchback,Female,28,13,2200,8961,2,8947,5086,0.5684587012406394,1
100230,COMP,2020-08-17,Gauteng,SUV,Male,65,19,2000,8224,3,12010,7428,0.6184845961698584,1
100231,TPO,2020-08-18,KZN,SUV,Male,42,8,3500,6254,0,7790,12604,1.6179717586649551,1
100232,TPFT,2020-08-19,Gauteng,Sedan,Male,61,8,1200,1237,1,16597,1101,0.06633728987166355,1
100233,TPFT,2020-08-20,Western Cape,Sedan,Female,61,16,2000,6591,2,9149,1548,0.16919881954311947,1
100234,TPFT,2020-08-21,Eastern Cape,Hatchback,Male,47,11,2200,4288,1,10846,234,0.021574774110271068,1
100235,TPFT,2020-08-22,Eastern Cape,Sedan,Male,72,18,3000,8906,3,11498,6079,0.5287006435901896,1
100236,TPFT,2020-08-23,KZN,Bakkie,Male,37,4,3000,6145,0,12754,0,0.0,0
100237,TPO,2020-08-24,Eastern Cape,Hatchback,Male,54,24,1800,5282,1,4402,0,0.0,0
100238,TPO,2020-08-25,Gauteng,Sedan,Female,33,1,3000,7001,3,12239,1840,0.15033907999019527,1
100239,COMP+,2020-08-26,Eastern Cape,Bakkie,Female,48,1,3000,5725,3,17611,134,0.007608880813128159,1
100240,TPFT,2020-08-27,Western Cape,Sedan,Female,46,14,3500,2732,0,8475,2944,0.3473746312684366,1
100241,TPO,2020-08-28,Gauteng,Bakkie,Female,23,4,2000,8283,2,25000,235,0.0094,1
100242,COMP+,2020-08-29,Western Cape,Sedan,Female,46,11,2000,4061,0,6828,556,0.08142940831868775,1
100243,TPFT,2020-08-30,Western Cape,Bakkie,Male,49,18,2500,1814,0,7479,0,0.0,0
100244,COMP,2020-08-31,Western Cape,Sedan,Male,26,16,2500,5709,1,5591,0,0.0,0
100245,COMP+,2020-09-01,Free State,SUV,Female,54,17,1200,8035,1,6514,4537,0.6964998464844949,1
100246,TPO,2020-09-02,KZN,SUV,Male,70,24,1600,2186,2,15228,17415,1.1436170212765957,1
100247,COMP,2020-09-03,Free State,Sedan,Male,40,2,3000,8581,3,9475,0,0.0,0
100248,COMP,2020-09-04,Western Cape,Bakkie,Female,33,4,1800,3225,1,9345,0,0.0,0
100249,COMP,2020-09-05,KZN,Sedan,Male,35,3,3000,1984,2,10278,0,0.0,0
